"nta_id","nta_name","state_fips","county_fips","county_name","borough_name","borough_id","puma_id","puma_name","neighborhood","complaint_n","ebird_checklists","ebird_pigeon_total"
"BX59","Westchester-Unionport","36","005","Bronx","Bronx","2","3709","Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Bronx Community District 9--Castle Hill, Clason Point & Parkchester",124,0,0
"BX62","Woodlawn-Wakefield","36","005","Bronx","Bronx","2","3702","Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn","Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",44,0,0
"BX63","West Concourse","36","005","Bronx","Bronx","2","3708","Bronx Community District 4--Concourse, Highbridge & Mount Eden","Bronx Community District 4--Concourse, Highbridge & Mount Eden",48,0,0
"BX75","Crotona Park East","36","005","Bronx","Bronx","2","3705","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",55,0,0
"BX98","Rikers Island","36","005","Bronx","Bronx","2",NA,NA,NA,578,73985,1139020
"BX99","park-cemetery-etc-Bronx","36","005","Bronx","Bronx","2",NA,NA,NA,578,73985,1139020
"BK09","Brooklyn Heights-Cobble Hill","36","047","Kings","Brooklyn","3","4004","Brooklyn Community District 2--Brooklyn Heights & Fort Greene","Brooklyn Community District 2--Brooklyn Heights & Fort Greene",99,0,0
"BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","36","047","Kings","Brooklyn","3","4016","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",110,0,0
"BK19","Brighton Beach","36","047","Kings","Brooklyn","3","4018","Brooklyn Community District 13--Brighton Beach & Coney Island","Brooklyn Community District 13--Brighton Beach & Coney Island",90,0,0
"BK21","Seagate-Coney Island","36","047","Kings","Brooklyn","3","4018","Brooklyn Community District 13--Brighton Beach & Coney Island","Brooklyn Community District 13--Brighton Beach & Coney Island",90,0,0
"BK23","West Brighton","36","047","Kings","Brooklyn","3","4018","Brooklyn Community District 13--Brighton Beach & Coney Island","Brooklyn Community District 13--Brighton Beach & Coney Island",90,0,0
"BK25","Homecrest","36","047","Kings","Brooklyn","3","4016","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",110,0,0
"BK26","Gravesend","36","047","Kings","Brooklyn","3","4018","Brooklyn Community District 13--Brighton Beach & Coney Island","Brooklyn Community District 13--Brighton Beach & Coney Island",90,0,0
"BK27","Bath Beach","36","047","Kings","Brooklyn","3","4017","Brooklyn Community District 11--Bensonhurst & Bath Beach","Brooklyn Community District 11--Bensonhurst & Bath Beach",127,0,0
"BK28","Bensonhurst West","36","047","Kings","Brooklyn","3","4017","Brooklyn Community District 11--Bensonhurst & Bath Beach","Brooklyn Community District 11--Bensonhurst & Bath Beach",127,0,0
"BK29","Bensonhurst East","36","047","Kings","Brooklyn","3","4017","Brooklyn Community District 11--Bensonhurst & Bath Beach","Brooklyn Community District 11--Bensonhurst & Bath Beach",127,0,0
"BK30","Dyker Heights","36","047","Kings","Brooklyn","3","4013","Brooklyn Community District 10--Bay Ridge & Dyker Heights","Brooklyn Community District 10--Bay Ridge & Dyker Heights",108,0,0
"BK31","Bay Ridge","36","047","Kings","Brooklyn","3","4013","Brooklyn Community District 10--Bay Ridge & Dyker Heights","Brooklyn Community District 10--Bay Ridge & Dyker Heights",108,0,0
"BK32","Sunset Park West","36","047","Kings","Brooklyn","3","4012","Brooklyn Community District 7--Sunset Park & Windsor Terrace","Brooklyn Community District 7--Sunset Park & Windsor Terrace",107,0,0
"BK33","Carroll Gardens-Columbia Street-Red Hook","36","047","Kings","Brooklyn","3","4005","Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook","Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",113,0,0
"BK34","Sunset Park East","36","047","Kings","Brooklyn","3","4012","Brooklyn Community District 7--Sunset Park & Windsor Terrace","Brooklyn Community District 7--Sunset Park & Windsor Terrace",107,0,0
"BK35","Stuyvesant Heights","36","047","Kings","Brooklyn","3","4003","Brooklyn Community District 3--Bedford-Stuyvesant","Brooklyn Community District 3--Bedford-Stuyvesant",35,0,0
"BK37","Park Slope-Gowanus","36","047","Kings","Brooklyn","3","4005","Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook","Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",113,0,0
"BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","36","047","Kings","Brooklyn","3","4004","Brooklyn Community District 2--Brooklyn Heights & Fort Greene","Brooklyn Community District 2--Brooklyn Heights & Fort Greene",99,0,0
"BK40","Windsor Terrace","36","047","Kings","Brooklyn","3","4012","Brooklyn Community District 7--Sunset Park & Windsor Terrace","Brooklyn Community District 7--Sunset Park & Windsor Terrace",107,0,0
"BK41","Kensington-Ocean Parkway","36","047","Kings","Brooklyn","3","4014","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",116,0,0
"BK42","Flatbush","36","047","Kings","Brooklyn","3","4015","Brooklyn Community District 14--Flatbush & Midwood","Brooklyn Community District 14--Flatbush & Midwood",66,0,0
"BK43","Midwood","36","047","Kings","Brooklyn","3","4015","Brooklyn Community District 14--Flatbush & Midwood","Brooklyn Community District 14--Flatbush & Midwood",66,0,0
"BK44","Madison","36","047","Kings","Brooklyn","3","4016","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",110,0,0
"BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","36","047","Kings","Brooklyn","3","4009","Brooklyn Community District 18--Canarsie & Flatlands","Brooklyn Community District 18--Canarsie & Flatlands",128,0,0
"BK46","Ocean Parkway South","36","047","Kings","Brooklyn","3","4014","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",116,0,0
"BK50","Canarsie","36","047","Kings","Brooklyn","3","4009","Brooklyn Community District 18--Canarsie & Flatlands","Brooklyn Community District 18--Canarsie & Flatlands",128,0,0
"BK58","Flatlands","36","047","Kings","Brooklyn","3","4009","Brooklyn Community District 18--Canarsie & Flatlands","Brooklyn Community District 18--Canarsie & Flatlands",128,0,0
"BK60","Prospect Lefferts Gardens-Wingate","36","047","Kings","Brooklyn","3","4011","Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate","Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",59,0,0
"BK61","Crown Heights North","36","047","Kings","Brooklyn","3","4006","Brooklyn Community District 8--Crown Heights North & Prospect Heights","Brooklyn Community District 8--Crown Heights North & Prospect Heights",73,0,0
"BK63","Crown Heights South","36","047","Kings","Brooklyn","3","4011","Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate","Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",59,0,0
"BK64","Prospect Heights","36","047","Kings","Brooklyn","3","4006","Brooklyn Community District 8--Crown Heights North & Prospect Heights","Brooklyn Community District 8--Crown Heights North & Prospect Heights",73,0,0
"BK68","Fort Greene","36","047","Kings","Brooklyn","3","4004","Brooklyn Community District 2--Brooklyn Heights & Fort Greene","Brooklyn Community District 2--Brooklyn Heights & Fort Greene",99,0,0
"BK69","Clinton Hill","36","047","Kings","Brooklyn","3","4004","Brooklyn Community District 2--Brooklyn Heights & Fort Greene","Brooklyn Community District 2--Brooklyn Heights & Fort Greene",99,0,0
"BK72","Williamsburg","36","047","Kings","Brooklyn","3","4001","Brooklyn Community District 1--Greenpoint & Williamsburg","Brooklyn Community District 1--Greenpoint & Williamsburg",158,0,0
"BK73","North Side-South Side","36","047","Kings","Brooklyn","3","4001","Brooklyn Community District 1--Greenpoint & Williamsburg","Brooklyn Community District 1--Greenpoint & Williamsburg",158,0,0
"BK75","Bedford","36","047","Kings","Brooklyn","3","4003","Brooklyn Community District 3--Bedford-Stuyvesant","Brooklyn Community District 3--Bedford-Stuyvesant",35,0,0
"BK76","Greenpoint","36","047","Kings","Brooklyn","3","4001","Brooklyn Community District 1--Greenpoint & Williamsburg","Brooklyn Community District 1--Greenpoint & Williamsburg",158,0,0
"BK77","Bushwick North","36","047","Kings","Brooklyn","3","4002","Brooklyn Community District 4--Bushwick","Brooklyn Community District 4--Bushwick",117,0,0
"BK78","Bushwick South","36","047","Kings","Brooklyn","3","4002","Brooklyn Community District 4--Bushwick","Brooklyn Community District 4--Bushwick",117,0,0
"BK79","Ocean Hill","36","047","Kings","Brooklyn","3","4007","Brooklyn Community District 16--Brownsville & Ocean Hill","Brooklyn Community District 16--Brownsville & Ocean Hill",38,0,0
"BK81","Brownsville","36","047","Kings","Brooklyn","3","4007","Brooklyn Community District 16--Brownsville & Ocean Hill","Brooklyn Community District 16--Brownsville & Ocean Hill",38,0,0
"BK82","East New York","36","047","Kings","Brooklyn","3","4008","Brooklyn Community District 5--East New York & Starrett City","Brooklyn Community District 5--East New York & Starrett City",76,0,0
"BK83","Cypress Hills-City Line","36","047","Kings","Brooklyn","3","4008","Brooklyn Community District 5--East New York & Starrett City","Brooklyn Community District 5--East New York & Starrett City",76,0,0
